phi_mean_block,phi_sq_mean_block,alignment_work_proxy_block,mean_knn_distance_block,snapshot_step
0.7248027,0.52539104,0.58193624,0.39287555,5100
0.74825317,0.55990016,0.5718894,0.39142296,5200
0.7579058,0.57443136,0.5669326,0.39294994,5300
0.768406,0.5904614,0.5686691,0.3925848,5400
0.7729244,0.59741867,0.5670555,0.3876453,5500
0.7689936,0.59137386,0.5737412,0.3851184,5600
0.77914655,0.60709286,0.5679092,0.38152033,5700
0.788817,0.622244,0.55647755,0.37990257,5800
0.78661346,0.61877126,0.55918473,0.38064814,5900
0.7815259,0.61078876,0.5642376,0.3826509,6000
0.7849013,0.6160816,0.5621015,0.38545477,6100
0.77643245,0.6028633,0.56406564,0.38600725,6200
0.7722847,0.5964294,0.56380695,0.38616732,6300
0.7616652,0.58013815,0.5564217,0.3882605,6400
0.7641319,0.5839011,0.5562452,0.3917955,6500
0.7646733,0.58473164,0.5667475,0.39397642,6600
0.7626449,0.5816447,0.56905717,0.3994749,6700
0.76350546,0.5829522,0.5749216,0.40114897,6800
0.76828694,0.59027547,0.5694771,0.40006217,6900
0.7602197,0.57798195,0.5771122,0.3997026,7000
0.7549799,0.5700132,0.5725915,0.40040508,7100
0.77040863,0.5935614,0.568126,0.40024585,7200
0.7972728,0.6357066,0.5582616,0.39984843,7300
0.8100665,0.65623814,0.5559895,0.39849997,7400
0.80910003,0.6546509,0.54802793,0.3996923,7500
0.7993282,0.6389314,0.55164915,0.40167174,7600
0.78998107,0.62408596,0.55345005,0.4035086,7700
0.76296437,0.58217865,0.5670797,0.40667513,7800
0.7507913,0.56369466,0.57409394,0.41044813,7900
0.76063544,0.5785948,0.58134264,0.41060787,8000
0.7794888,0.60760885,0.5729193,0.4071875,8100
0.78588545,0.617621,0.5672127,0.40628216,8200
0.7773335,0.6042732,0.56358594,0.40781856,8300
0.76736015,0.58886516,0.5664882,0.4099363,8400
0.75705266,0.573136,0.57412976,0.41090575,8500
0.75988865,0.57744443,0.5738458,0.4096004,8600
0.7644792,0.5844555,0.5700264,0.4069918,8700
0.7658983,0.5866672,0.5591987,0.4026085,8800
0.73823017,0.54502094,0.56261176,0.40314704,8900
0.72095793,0.5198094,0.5738788,0.40392742,9000
0.71156335,0.5063283,0.59221685,0.39932463,9100
0.71681046,0.5138211,0.59242785,0.3919821,9200
0.7255081,0.52636594,0.56537,0.38704422,9300
0.7216458,0.52081543,0.5751909,0.38629737,9400
0.70791745,0.50115734,0.57745224,0.38725805,9500
0.7215934,0.5208202,0.5829875,0.38252655,9600
0.74854887,0.5604257,0.5656786,0.38206348,9700
0.76885796,0.5911813,0.5667667,0.38547155,9800
0.7812895,0.6104229,0.555313,0.38719586,9900
0.7778646,0.6050775,0.5464646,0.38880926,10000
0.785158,0.61648256,0.5504321,0.39269683,10100
0.7762499,0.6025825,0.5571908,0.39589942,10200
0.77336353,0.5980946,0.56057286,0.39912987,10300
0.7626305,0.58162117,0.5647269,0.39936486,10400
0.7655109,0.5860444,0.5751269,0.39901972,10500
0.77845985,0.60601914,0.56590116,0.40020487,10600
0.7895377,0.62337434,0.558544,0.4044209,10700
0.78426427,0.61507356,0.56270784,0.40620804,10800
0.7896059,0.6234846,0.55961484,0.40624395,10900
0.78559995,0.61717474,0.5641383,0.40997636,11000
0.78378385,0.61432534,0.5597619,0.41349158,11100
0.7864293,0.6184847,0.5666228,0.41562656,11200
0.7930754,0.6289842,0.5712078,0.4125485,11300
0.80856055,0.6537922,0.55569303,0.40914637,11400
0.8077663,0.652501,0.55256104,0.4080382,11500
0.7929798,0.6288626,0.55957574,0.40999433,11600
0.7900659,0.6242095,0.56788605,0.4096794,11700
0.7829007,0.61294717,0.5619471,0.40605947,11800
0.77778983,0.6049613,0.55240077,0.40694344,11900
0.7747924,0.6003094,0.5545265,0.4102673,12000
0.78413695,0.614877,0.56036705,0.41417181,12100
0.795435,0.6327591,0.56377757,0.41243175,12200
0.80583644,0.6493826,0.5494699,0.4074527,12300
0.80006015,0.6401005,0.5613286,0.4053037,12400
0.80586326,0.6494199,0.5542688,0.40636185,12500
0.79904526,0.6385054,0.55722696,0.4071093,12600
0.7990431,0.6385344,0.5557435,0.40752628,12700
0.81084156,0.65747786,0.5543827,0.4065425,12800
0.81482124,0.6639464,0.55620515,0.4058201,12900
0.81177944,0.65899116,0.55547005,0.40225577,13000
0.8189497,0.67069244,0.5534688,0.39944702,13100
0.82079464,0.67371154,0.5530445,0.39844516,13200
0.82227147,0.6761337,0.55393964,0.39838344,13300
0.82222736,0.67606145,0.5489194,0.39955896,13400
0.82233274,0.67624885,0.54210335,0.40264142,13500
0.80008894,0.64018047,0.54829365,0.4054371,13600
0.79586416,0.6334072,0.5629969,0.40756443,13700
0.79749876,0.63600814,0.55960387,0.40884787,13800
0.79065174,0.6251343,0.5699637,0.40781626,13900
0.78946114,0.6232544,0.56844866,0.4030534,14000
0.796568,0.6345253,0.55852497,0.40124354,14100
0.7951528,0.63227,0.5528781,0.4010797,14200
0.80603915,0.64974564,0.55399156,0.40060252,14300
0.7992211,0.63878006,0.5486798,0.40232298,14400
0.79561883,0.63301396,0.56151694,0.40383217,14500
0.7904342,0.62478745,0.5604988,0.40454146,14600
0.78825825,0.62135506,0.5620271,0.40882742,14700
0.79135704,0.62626743,0.56368196,0.41190678,14800
0.79267156,0.6283543,0.5614427,0.41361934,14900
0.7880721,0.62107486,0.5570543,0.4140678,15000
