x,y,z,ux,uy,uz,vx,vy,vz,speed
7.509485,1.1457605,6.225593,-0.6971733,-0.69284767,-0.18415104,-0.34858665,-0.34642383,-0.09207552,0.5
7.2112093,9.800003,2.9345973,-0.5447435,-0.8217184,-0.16743203,-0.27237174,-0.4108592,-0.08371601,0.5
8.733664,6.2639937,0.89696735,0.25162035,-0.5963707,0.76225287,0.12581018,-0.29818535,0.38112643,0.50000006
0.29981497,5.252539,6.972707,-0.36861303,-0.92883307,0.037329044,-0.18430652,-0.46441653,0.018664522,0.49999997
1.0661526,6.1521916,2.4133701,-0.26445124,-0.58464915,0.7669751,-0.13222562,-0.29232457,0.38348755,0.49999997
6.822123,1.9561003,1.9000572,-0.45719197,-0.8189406,0.34686008,-0.22859599,-0.4094703,0.17343004,0.5
0.8598548,8.903908,6.4284024,0.44899043,-0.6391273,0.6244389,0.22449522,-0.31956366,0.31221944,0.5
7.3358727,2.5489833,6.194016,-0.43894547,-0.86956096,0.22625342,-0.21947274,-0.43478048,0.11312671,0.5
1.2142788,2.3051636,9.486084,0.75253797,-0.58790696,0.29673585,0.37626898,-0.29395348,0.14836793,0.5
3.2845378,1.7424585,7.8104715,-0.57912046,-0.8066367,-0.118139036,-0.28956023,-0.40331835,-0.059069518,0.5
0.20144783,6.511143,5.5086627,-0.043721676,-0.92143047,0.38607547,-0.021860838,-0.46071523,0.19303773,0.5
7.097835,5.933472,9.577098,0.06739427,-0.66615915,0.7427584,0.033697136,-0.33307958,0.3713792,0.5
1.2475102,6.834794,8.841314,-0.72990394,-0.42948774,0.531771,-0.36495197,-0.21474387,0.2658855,0.49999997
5.7966094,5.2792234,0.039209444,-0.7892342,-0.59652877,-0.14581731,-0.3946171,-0.29826438,-0.072908655,0.49999997
3.9111798,9.647338,1.5409008,-0.72637135,-0.52774847,0.44030252,-0.36318567,-0.26387423,0.22015126,0.5
2.2138705,1.5275553,4.8159385,0.19376315,-0.95152783,0.23885293,0.096881576,-0.47576392,0.11942647,0.5
6.7210774,2.4228683,9.470245,-0.16443849,-0.42823184,0.88858175,-0.08221924,-0.21411592,0.44429088,0.5
3.4528234,1.2499654,10.001158,-0.44154605,-0.85227096,0.280484,-0.22077303,-0.42613548,0.140242,0.5
1.8675069,1.9627551,4.2530856,0.14218685,-0.9611879,0.23643322,0.071093425,-0.48059395,0.11821661,0.5
5.7495375,0.97165024,7.6010647,-0.29573655,-0.7881844,0.53972685,-0.14786828,-0.3940922,0.26986343,0.49999994
3.6073654,6.4540877,3.1808355,-0.91691625,-0.39696416,-0.04103797,-0.45845813,-0.19848208,-0.020518985,0.5
2.8696434,1.6044947,6.7096496,-0.45270124,-0.85976577,0.23635693,-0.22635062,-0.42988288,0.118178464,0.50000006
9.909152,1.8326194,0.4525282,0.2574827,-0.88477933,0.38841766,0.12874135,-0.44238967,0.19420883,0.5
6.3875146,1.9487977,1.6758342,-0.5184104,-0.81609833,0.2554101,-0.2592052,-0.40804917,0.12770505,0.5
6.2802315,6.066983,7.48015,0.3731234,-0.0109155085,0.9277175,0.1865617,-0.0054577542,0.46385875,0.5
5.9328337,8.492129,8.47036,-0.11326183,0.82462525,0.55422467,-0.056630913,0.41231263,0.27711233,0.5
2.700207,4.323259,3.2799397,-0.25514537,-0.75124365,0.6087148,-0.12757269,-0.37562183,0.3043574,0.49999997
9.168773,8.813694,3.5453384,-0.1015995,-0.6468543,0.7558155,-0.05079975,-0.32342714,0.37790775,0.5
8.246279,1.8029033,8.893972,-0.3807687,-0.9042319,-0.19333884,-0.19038434,-0.45211595,-0.09666942,0.5
0.6387464,1.2782844,0.4635645,-0.024057766,-0.34113201,0.9397074,-0.012028883,-0.17056601,0.4698537,0.49999994
2.5964386,1.1555853,2.8270104,-0.41416085,-0.905404,-0.0933509,-0.20708042,-0.452702,-0.04667545,0.49999997
1.9604111,4.6049953,9.814164,-0.384535,-0.635856,0.6691936,-0.1922675,-0.317928,0.3345968,0.5
4.153596,3.7793574,9.854771,-0.6971128,-0.70689654,0.119712636,-0.3485564,-0.35344827,0.059856318,0.5
8.838323,9.656814,2.6085699,-0.23623402,-0.7440992,0.62490803,-0.11811701,-0.3720496,0.31245402,0.50000006
3.5718024,3.486109,2.9371002,-0.3356219,-0.7285198,0.5971741,-0.16781095,-0.3642599,0.29858705,0.5
6.86951,3.283409,7.281215,0.38934854,-0.5375205,0.7479836,0.19467427,-0.26876026,0.3739918,0.5
5.0671,6.780365,6.845252,-0.50223786,-0.39763963,0.76788,-0.25111893,-0.19881982,0.38394,0.49999997
1.3182461,5.815597,8.815726,-0.6791104,-0.37063843,0.6335899,-0.3395552,-0.18531922,0.31679496,0.5
4.184675,1.553252,0.92005414,-0.9750375,0.14558639,-0.16764998,-0.48751876,0.07279319,-0.08382499,0.5
6.9961343,7.930677,8.846752,-0.10087849,-0.044326585,0.9939108,-0.050439246,-0.022163292,0.4969554,0.5
0.05624859,1.6442887,8.565116,-0.2659761,-0.6338763,0.72626257,-0.13298805,-0.31693816,0.36313128,0.49999994
3.6010523,5.2782674,6.310743,-0.79137343,-0.030758442,0.6105586,-0.39568672,-0.015379221,0.3052793,0.49999997
5.363005,7.896823,1.9725763,-0.40992373,-0.05203794,0.9106342,-0.20496187,-0.02601897,0.4553171,0.5
7.942625,6.4011,0.30523264,0.27263534,-0.3214867,0.9068166,0.13631767,-0.16074336,0.4534083,0.5
4.3509603,9.504533,0.46001527,-0.07762647,-0.9706719,-0.22753116,-0.038813233,-0.48533595,-0.11376558,0.50000006
7.147243,9.149174,0.7545966,-0.83082056,-0.18062112,0.5264155,-0.41541028,-0.09031056,0.26320776,0.5
0.37015972,5.713539,4.5263762,-0.3987031,-0.74882776,0.52942705,-0.19935155,-0.37441388,0.26471353,0.50000006
4.846384,0.91777134,0.8758404,-0.79978186,-0.5728389,-0.17945619,-0.39989093,-0.28641945,-0.089728095,0.49999997
6.299694,4.2825084,4.2956023,-0.75052005,-0.3725786,0.5458067,-0.37526003,-0.1862893,0.27290335,0.5
9.182078,1.1929759,3.9331248,-0.55527616,-0.42266503,0.716256,-0.27763808,-0.21133251,0.358128,0.5
6.6772966,1.8594067,0.44234848,-0.81634885,-0.41102824,0.4057466,-0.40817443,-0.20551412,0.2028733,0.5
2.0192795,6.146653,7.845037,-0.9568887,-0.28333604,-0.06391228,-0.47844434,-0.14166802,-0.03195614,0.5
3.7008011,0.048549965,1.2649933,-0.8510204,-0.51072633,-0.1221596,-0.4255102,-0.25536317,-0.0610798,0.5
0.98093677,9.518034,9.063626,-0.8114096,-0.0055401563,0.5844516,-0.4057048,-0.0027700781,0.2922258,0.49999997
4.2537556,8.144156,7.814163,-0.76384157,-0.33378923,0.5523866,-0.38192078,-0.16689461,0.2761933,0.5
9.263638,2.388344,9.4052105,0.17167331,-0.9829057,0.06651866,0.08583666,-0.49145284,0.03325933,0.5
8.656911,9.689871,4.0847282,-0.15994203,-0.8961723,0.4138764,-0.079971015,-0.44808614,0.2069382,0.49999997
3.178723,5.3535376,1.7081678,-0.8929486,-0.2664772,-0.362812,-0.4464743,-0.1332386,-0.181406,0.49999997
6.813191,1.4324021,5.1208477,-0.84177697,-0.48922452,0.22819039,-0.42088848,-0.24461226,0.114095196,0.5
1.8688824,6.038732,8.1769085,-0.94223416,-0.26204062,0.2086374,-0.47111708,-0.13102031,0.1043187,0.5
0.039829597,5.9881215,2.8652322,0.36132735,-0.9052994,-0.22332823,0.18066368,-0.4526497,-0.11166412,0.5
1.1081494,3.404583,5.8949585,-0.17260146,-0.8592668,0.48152784,-0.08630073,-0.4296334,0.24076392,0.49999994
1.1712477,5.2523327,0.71420354,-0.31164595,-0.53956574,0.7821417,-0.15582298,-0.26978287,0.39107084,0.5
9.185349,10.031551,5.0240345,0.17113076,-0.985193,0.010445973,0.08556538,-0.4925965,0.0052229865,0.5
2.07729,3.3657856,6.1431575,0.27060464,-0.9577478,0.09742796,0.13530232,-0.4788739,0.04871398,0.49999997
3.3006098,0.6040716,9.85621,-0.7530087,-0.3022449,0.5844877,-0.37650436,-0.15112245,0.29224384,0.5
