neighbor_rank,C_n_mean,C_n_std,mean_distance_to_rank_n
1,0.7935676,0.018198889,0.25459468
2,0.7862589,0.02022935,0.33694473
3,0.7784632,0.02045052,0.39203575
4,0.7688236,0.020653225,0.43619215
5,0.75858694,0.02018139,0.4746497
6,0.742321,0.0213574,0.5095986
7,0.7083536,0.025031006,0.5424626
8,0.689122,0.026717545,0.5733854
9,0.6735762,0.02741437,0.6021586
10,0.6556983,0.029281745,0.6291498
11,0.6426903,0.029923733,0.65481955
12,0.6266516,0.03144063,0.679146
13,0.6117101,0.032086305,0.702477
14,0.5985558,0.032699894,0.7246901
15,0.5842155,0.0336887,0.7460726
16,0.57142127,0.0332325,0.7665913
17,0.5608366,0.033593193,0.7864201
18,0.54916364,0.033402767,0.8054731
19,0.53568333,0.03405336,0.82391816
20,0.52290463,0.035521984,0.841781
21,0.5130005,0.03636543,0.8591627
22,0.5029287,0.036260936,0.8760089
23,0.49371132,0.036684092,0.89249223
24,0.48277462,0.036501415,0.9085251
25,0.47353595,0.037218533,0.9241216
26,0.4652127,0.0377495,0.9393379
27,0.4566708,0.037089575,0.9541764
28,0.44616604,0.03788929,0.9687058
29,0.44009498,0.037585225,0.9829252
30,0.4310571,0.03930229,0.99681544
31,0.4230392,0.03913391,1.0104644
32,0.41702592,0.04053798,1.0238411
