N,rho,v0,k,noise,J_interp
2048,1.0,0.05,2,0.00330346724003798,0.5972825765609742
2048,1.0,0.05,2,0.0037928878751459175,0.5511507391929626
2048,1.0,0.05,2,0.004354817949780402,0.5182701945304871
2048,1.0,0.05,2,0.005,0.6870144844055176
2048,1.0,0.05,2,0.005740768107484414,0.7660041451454163
2048,1.0,0.05,2,0.006591283692782036,0.5866986393928528
2048,1.0,0.05,2,0.006597539553864474,0.6882925629615784
2048,1.0,0.05,2,0.0075678062421810416,0.709454607963562
2048,1.0,0.05,2,0.00870550563296124,0.6595285654067993
2048,1.0,0.05,2,0.011486983549970353,0.9608460068702698
2048,1.0,0.05,2,0.01321386896015192,0.9522886136599299
2048,1.0,0.05,2,0.015157165665103984,0.9426588177680969
2048,1.0,0.05,2,0.015171551500583674,0.94304557875402
2048,1.0,0.05,2,0.017419271799121613,1.0034751950922025
2048,1.0,0.05,2,0.02,1.072857677936554
2048,1.0,0.05,2,0.02296307242993765,1.211243408577144
2048,1.0,0.05,2,0.023124270680265863,1.218771924392103
2048,1.0,0.05,2,0.02636513477112814,1.3701314863756298
2048,1.0,0.05,2,0.026550215126021435,1.3787753790730715
2048,1.0,0.05,2,0.030271224968724166,1.5525594083126402
2048,1.0,0.05,2,0.03048372564846282,1.5624839250170375
2048,1.0,0.05,2,0.0330346724003798,1.681621961105038
2048,1.0,0.05,2,0.035,1.7734095573425293
2048,1.0,0.05,2,0.03792887875145919,1.9001197948252426
2048,1.0,0.05,2,0.0401853767523909,1.9977412472103497
2048,1.0,0.05,2,0.04354817949780404,2.1432240652568573
2048,1.0,0.05,2,0.04613898584947424,2.255308489348603
2048,1.0,0.05,2,0.04875917646296059,2.3686641462597753
2048,1.0,0.05,2,0.05,2.4223451137542726
2048,1.0,0.05,2,0.05297464369526729,2.605131469675967
2048,1.0,0.05,2,0.055983025037153765,2.789990941612432
2048,1.0,0.05,2,0.05740768107484413,2.8775334214010453
2048,1.0,0.05,2,0.06427711293875876,3.2996473100846115
2048,1.0,0.05,2,0.06591283692782035,3.400159525288725
2048,1.0,0.05,2,0.0660693448007596,3.409776644748489
2048,1.0,0.05,2,0.0738,3.8848111152648928
2048,1.0,0.05,2,0.07567806242181041,3.9902749838318785
2048,1.0,0.05,2,0.07585775750291839,4.000365882939394
2048,1.0,0.05,2,0.08473373726646993,4.498802544210777
2048,1.0,0.05,2,0.08709635899560805,4.631477169197487
2048,1.0,0.05,2,0.09728734730546285,5.203759026923043
2048,1.0,0.05,2,0.1,5.356089878082275
2048,1.0,0.05,2,0.11170082013459218,5.660962427494772
2048,1.0,0.05,2,0.1148153621496883,5.742113864186588
2048,1.0,0.05,2,0.1318256738556407,6.185328701816917
2048,1.0,0.05,2,0.15,6.6588726997375485
2048,1.0,0.05,2,0.15135612484362082,6.6588726997375485
2048,1.0,0.05,3,0.00330346724003798,0.2407556354999542
2048,1.0,0.05,3,0.0037928878751459175,0.17911143600940704
2048,1.0,0.05,3,0.004354817949780402,0.2544413566589355
2048,1.0,0.05,3,0.005,0.1794528678059578
2048,1.0,0.05,3,0.005740768107484414,0.1296338841319084
2048,1.0,0.05,3,0.006591283692782036,0.21978367269039153
2048,1.0,0.05,3,0.006597539553864474,0.1108226239681244
2048,1.0,0.05,3,0.0075678062421810416,0.1802620157599449
2048,1.0,0.05,3,0.00870550563296124,0.15181507617235185
2048,1.0,0.05,3,0.011486983549970353,0.25437012910842893
2048,1.0,0.05,3,0.01321386896015192,0.25406075169034736
2048,1.0,0.05,3,0.015157165665103984,0.2537126034498215
2048,1.0,0.05,3,0.015171551500583674,0.2539756098542423
2048,1.0,0.05,3,0.017419271799121613,0.2950691448593337
2048,1.0,0.05,3,0.02,0.34225083589553834
2048,1.0,0.05,3,0.02296307242993765,0.3985701399841383
2048,1.0,0.05,3,0.023124270680265863,0.4016340452694289
2048,1.0,0.05,3,0.02636513477112814,0.46323335293364876
2048,1.0,0.05,3,0.026550215126021435,0.46675118688287853
2048,1.0,0.05,3,0.030271224968724166,0.5374766550592533
2048,1.0,0.05,3,0.03048372564846282,0.541515668847886
2048,1.0,0.05,3,0.0330346724003798,0.5900016742467017
2048,1.0,0.05,3,0.035,0.6273567795753479
2048,1.0,0.05,3,0.03792887875145919,0.7027910181347987
2048,1.0,0.05,3,0.0401853767523909,0.7609078686279791
2048,1.0,0.05,3,0.04354817949780404,0.8475179628148726
2048,1.0,0.05,3,0.04613898584947424,0.91424503517861
2048,1.0,0.05,3,0.04875917646296059,0.9817289089000782
2048,1.0,0.05,3,0.05,1.013686728477478
2048,1.0,0.05,3,0.05297464369526729,1.1469527805117485
2048,1.0,0.05,3,0.055983025037153765,1.2817303019623458
2048,1.0,0.05,3,0.05740768107484413,1.3455558572555228
2048,1.0,0.05,3,0.06427711293875876,1.6533110568711404
2048,1.0,0.05,3,0.06591283692782035,1.7265925993250506
2048,1.0,0.05,3,0.0660693448007596,1.7336042580228903
2048,1.0,0.05,3,0.0738,2.0799428462982177
2048,1.0,0.05,3,0.07567806242181041,2.1998533253734407
2048,1.0,0.05,3,0.07585775750291839,2.2113264920865827
2048,1.0,0.05,3,0.08473373726646993,2.7780398096788006
2048,1.0,0.05,3,0.08709635899560805,2.9288884183961756
2048,1.0,0.05,3,0.09728734730546285,3.5795623663401956
2048,1.0,0.05,3,0.1,3.7527597427368162
2048,1.0,0.05,3,0.11170082013459218,4.250621841714089
2048,1.0,0.05,3,0.1148153621496883,4.38314352883963
2048,1.0,0.05,3,0.1318256738556407,5.1069209557864905
2048,1.0,0.05,3,0.15,5.880226421356201
2048,1.0,0.05,3,0.15135612484362082,5.880226421356201
2048,1.0,0.05,4,0.00330346724003798,0.6189055562019348
2048,1.0,0.05,4,0.0037928878751459175,0.6189055562019348
2048,1.0,0.05,4,0.004354817949780402,0.6189055562019348
2048,1.0,0.05,4,0.005,0.6189055562019348
2048,1.0,0.05,4,0.005740768107484414,0.5766771249218328
2048,1.0,0.05,4,0.006591283692782036,0.5281923986174515
2048,1.0,0.05,4,0.006597539553864474,0.5278357752731843
2048,1.0,0.05,4,0.0075678062421810416,0.4725244845237909
2048,1.0,0.05,4,0.00870550563296124,0.40766847890534397
2048,1.0,0.05,4,0.011486983549970353,0.24910678073178721
2048,1.0,0.05,4,0.01321386896015192,0.15066347420215606
2048,1.0,0.05,4,0.015157165665103984,0.11760510624510029
2048,1.0,0.05,4,0.015171551500583674,0.1173603817820549
2048,1.0,0.05,4,0.017419271799121613,0.12179305404424667
2048,1.0,0.05,4,0.02,0.10750728100538254
2048,1.0,0.05,4,0.02296307242993765,0.11538487672805786
2048,1.0,0.05,4,0.023124270680265863,0.11558329206719012
2048,1.0,0.05,4,0.02636513477112814,0.11957239955663682
2048,1.0,0.05,4,0.026550215126021435,0.12228878806522991
2048,1.0,0.05,4,0.030271224968724166,0.17690132856369017
2048,1.0,0.05,4,0.03048372564846282,0.1811569608433472
2048,1.0,0.05,4,0.0330346724003798,0.2322433449174845
2048,1.0,0.05,4,0.035,0.27160186171531675
2048,1.0,0.05,4,0.03792887875145919,0.30121840406414324
2048,1.0,0.05,4,0.0401853767523909,0.3240358964479919
2048,1.0,0.05,4,0.04354817949780404,0.35804023680201286
2048,1.0,0.05,4,0.04613898584947424,0.3842382233160061
2048,1.0,0.05,4,0.04875917646296059,0.41073334068051104
2048,1.0,0.05,4,0.05,0.4232804298400879
2048,1.0,0.05,4,0.05297464369526729,0.5153268590456966
2048,1.0,0.05,4,0.055983025037153765,0.6084172552669307
2048,1.0,0.05,4,0.05740768107484413,0.6525013589611806
2048,1.0,0.05,4,0.06427711293875876,0.8650668755474467
2048,1.0,0.05,4,0.06591283692782035,0.9156821988544435
2048,1.0,0.05,4,0.0660693448007596,0.920525128738632
2048,1.0,0.05,4,0.0738,1.1597400665283204
2048,1.0,0.05,4,0.07567806242181041,1.274034455125271
2048,1.0,0.05,4,0.07585775750291839,1.2849702681156172
2048,1.0,0.05,4,0.08473373726646993,1.8251411743073833
2048,1.0,0.05,4,0.08709635899560805,1.9689246837806227
2048,1.0,0.05,4,0.09728734730546285,2.5891238659519544
2048,1.0,0.05,4,0.1,2.7542094230651855
2048,1.0,0.05,4,0.11170082013459218,3.356271841519061
2048,1.0,0.05,4,0.1148153621496883,3.516529727412145
2048,1.0,0.05,4,0.1318256738556407,4.3917905455887105
2048,1.0,0.05,4,0.15,5.326945400238037
2048,1.0,0.05,4,0.15135612484362082,5.326945400238037
2048,1.0,0.05,5,0.00330346724003798,0.9402794599533081
2048,1.0,0.05,5,0.0037928878751459175,0.9402794599533081
2048,1.0,0.05,5,0.004354817949780402,0.9402794599533081
2048,1.0,0.05,5,0.005,0.9402794599533081
2048,1.0,0.05,5,0.005740768107484414,0.9020839943576635
2048,1.0,0.05,5,0.006591283692782036,0.8582297322092646
2048,1.0,0.05,5,0.006597539553864474,0.8579071676653389
2048,1.0,0.05,5,0.0075678062421810416,0.8078783023055066
2048,1.0,0.05,5,0.00870550563296124,0.7492162763628668
2048,1.0,0.05,5,0.011486983549970353,0.6057977854602976
2048,1.0,0.05,5,0.01321386896015192,0.5167561655447177
2048,1.0,0.05,5,0.015157165665103984,0.4165559521632475
2048,1.0,0.05,5,0.015171551500583674,0.41581419009415
2048,1.0,0.05,5,0.017419271799121613,0.29991729541953116
2048,1.0,0.05,5,0.02,0.16684985607862474
2048,1.0,0.05,5,0.02296307242993765,0.19808173559146405
2048,1.0,0.05,5,0.023124270680265863,0.19978082478046416
2048,1.0,0.05,5,0.02636513477112814,0.16444823427462046
2048,1.0,0.05,5,0.026550215126021435,0.16243044883012772
2048,1.0,0.05,5,0.030271224968724166,0.11986201807502175
2048,1.0,0.05,5,0.03048372564846282,0.11743100583553315
2048,1.0,0.05,5,0.0330346724003798,0.1082386796148505
2048,1.0,0.05,5,0.035,0.10115662962198257
2048,1.0,0.05,5,0.03792887875145919,0.12439235338454457
2048,1.0,0.05,5,0.0401853767523909,0.14229386746883393
2048,1.0,0.05,5,0.04354817949780404,0.14743430533931745
2048,1.0,0.05,5,0.04613898584947424,0.15139465630054474
2048,1.0,0.05,5,0.04875917646296059,0.16854896267283637
2048,1.0,0.05,5,0.05,0.1766725957393646
2048,1.0,0.05,5,0.05297464369526729,0.18082313239574432
2048,1.0,0.05,5,0.055983025037153765,0.2398269215532145
2048,1.0,0.05,5,0.05740768107484413,0.2677688926389305
2048,1.0,0.05,5,0.06427711293875876,0.4024999866284509
2048,1.0,0.05,5,0.06591283692782035,0.43458166192227676
2048,1.0,0.05,5,0.0660693448007596,0.43765127195070513
2048,1.0,0.05,5,0.0738,0.5892736554145813
2048,1.0,0.05,5,0.07567806242181041,0.6899765748798751
2048,1.0,0.05,5,0.07585775750291839,0.6996119411334003
2048,1.0,0.05,5,0.08473373726646993,1.175547706060144
2048,1.0,0.05,5,0.08709635899560805,1.3022330083979639
2048,1.0,0.05,5,0.09728734730546285,1.8486803804984957
2048,1.0,0.05,5,0.1,1.9941345691680907
2048,1.0,0.05,5,0.11170082013459218,2.675455789818931
2048,1.0,0.05,5,0.1148153621496883,2.856810903655793
2048,1.0,0.05,5,0.1318256738556407,3.8472958612775026
2048,1.0,0.05,5,0.15,4.905559635162353
2048,1.0,0.05,5,0.15135612484362082,4.905559635162353
2048,1.0,0.05,6,0.00330346724003798,1.381362211704254
2048,1.0,0.05,6,0.0037928878751459175,1.381362211704254
2048,1.0,0.05,6,0.004354817949780402,1.381362211704254
2048,1.0,0.05,6,0.005,1.381362211704254
2048,1.0,0.05,6,0.005740768107484414,1.3401508852222164
2048,1.0,0.05,6,0.006591283692782036,1.2928339514751743
2048,1.0,0.05,6,0.006597539553864474,1.2924859176831012
2048,1.0,0.05,6,0.0075678062421810416,1.23850684263538
2048,1.0,0.05,6,0.00870550563296124,1.1752129446420128
2048,1.0,0.05,6,0.011486983549970353,1.0204703289944395
2048,1.0,0.05,6,0.01321386896015192,0.9243981065040057
2048,1.0,0.05,6,0.015157165665103984,0.8162862235137774
2048,1.0,0.05,6,0.015171551500583674,0.8154858929424688
2048,1.0,0.05,6,0.017419271799121613,0.6904379405165479
2048,1.0,0.05,6,0.02,0.5468636810779571
2048,1.0,0.05,6,0.02296307242993765,0.47530131437069334
2048,1.0,0.05,6,0.023124270680265863,0.47140814990194635
2048,1.0,0.05,6,0.02636513477112814,0.39313672387286014
2048,1.0,0.05,6,0.026550215126021435,0.38866677298898544
2048,1.0,0.05,6,0.030271224968724166,0.29879915173396465
2048,1.0,0.05,6,0.03048372564846282,0.29366696143873094
2048,1.0,0.05,6,0.0330346724003798,0.23205800950527192
2048,1.0,0.05,6,0.035,0.21937981247901917
2048,1.0,0.05,6,0.03792887875145919,0.1970875307917595
2048,1.0,0.05,6,0.0401853767523909,0.1754565421231143
2048,1.0,0.05,6,0.04354817949780404,0.14322041869163513
2048,1.0,0.05,6,0.04613898584947424,0.13909152488541696
2048,1.0,0.05,6,0.04875917646296059,0.13491580222356675
2048,1.0,0.05,6,0.05,0.13293833732604982
2048,1.0,0.05,6,0.05297464369526729,0.13542207214374077
2048,1.0,0.05,6,0.055983025037153765,0.13793397684534364
2048,1.0,0.05,6,0.05740768107484413,0.1391235202550888
2048,1.0,0.05,6,0.06427711293875876,0.20009957165630532
2048,1.0,0.05,6,0.06591283692782035,0.2146189659833908
2048,1.0,0.05,6,0.0660693448007596,0.21664805130269926
2048,1.0,0.05,6,0.0738,0.31687405705451965
2048,1.0,0.05,6,0.07567806242181041,0.3229535400867462
2048,1.0,0.05,6,0.07585775750291839,0.3308508405977672
2048,1.0,0.05,6,0.08473373726646993,0.7209354165934139
2048,1.0,0.05,6,0.08709635899560805,0.8247687195075899
2048,1.0,0.05,6,0.09728734730546285,1.2726457381270693
2048,1.0,0.05,6,0.1,1.3918623208999634
2048,1.0,0.05,6,0.11170082013459218,2.1350852929106305
2048,1.0,0.05,6,0.1148153621496883,2.3329175086258673
2048,1.0,0.05,6,0.1318256738556407,3.4133934304417908
2048,1.0,0.05,6,0.15,4.567806243896484
2048,1.0,0.05,6,0.15135612484362082,4.567806243896484
2048,1.0,0.05,7,0.00330346724003798,2.867597246170044
2048,1.0,0.05,7,0.0037928878751459175,2.867597246170044
2048,1.0,0.05,7,0.004354817949780402,2.867597246170044
2048,1.0,0.05,7,0.005,2.867597246170044
2048,1.0,0.05,7,0.005740768107484414,2.7775073329964495
2048,1.0,0.05,7,0.006591283692782036,2.674070272925847
2048,1.0,0.05,7,0.006597539553864474,2.673309454559008
2048,1.0,0.05,7,0.0075678062421810416,2.5553086378087944
2048,1.0,0.05,7,0.00870550563296124,2.416945176561651
2048,1.0,0.05,7,0.011486983549970353,2.078670483704556
2048,1.0,0.05,7,0.01321386896015192,1.8686520513609666
2048,1.0,0.05,7,0.015157165665103984,1.6323143504653492
2048,1.0,0.05,7,0.015171551500583674,1.6305647898994984
2048,1.0,0.05,7,0.017419271799121613,1.3572040384202382
2048,1.0,0.05,7,0.02,1.0433439016342163
2048,1.0,0.05,7,0.02296307242993765,0.9386253273182484
2048,1.0,0.05,7,0.023124270680265863,0.9329283855945005
2048,1.0,0.05,7,0.02636513477112814,0.8183923169793792
2048,1.0,0.05,7,0.026550215126021435,0.8118513527078014
2048,1.0,0.05,7,0.030271224968724166,0.6803463507353342
2048,1.0,0.05,7,0.03048372564846282,0.6728363189188409
2048,1.0,0.05,7,0.0330346724003798,0.5826827660330897
2048,1.0,0.05,7,0.035,0.5132257044315338
2048,1.0,0.05,7,0.03792887875145919,0.4813829818959571
2048,1.0,0.05,7,0.0401853767523909,0.456850372032898
2048,1.0,0.05,7,0.04354817949780404,0.42029003483535515
2048,1.0,0.05,7,0.04613898584947424,0.39212282997631387
2048,1.0,0.05,7,0.04875917646296059,0.3636361598968506
2048,1.0,0.05,7,0.05,0.28872756361961366
2048,1.0,0.05,7,0.05297464369526729,0.2522862940997829
2048,1.0,0.05,7,0.055983025037153765,0.2154317170381546
2048,1.0,0.05,7,0.05740768107484413,0.2082763665738254
2048,1.0,0.05,7,0.06427711293875876,0.1737745702266693
2048,1.0,0.05,7,0.06591283692782035,0.17396831646765218
2048,1.0,0.05,7,0.0660693448007596,0.17398685432139094
2048,1.0,0.05,7,0.0738,0.17490252554416658
2048,1.0,0.05,7,0.07567806242181041,0.2016436455719884
2048,1.0,0.05,7,0.07585775750291839,0.20420226539021863
2048,1.0,0.05,7,0.08473373726646993,0.330584454536438
2048,1.0,0.05,7,0.08709635899560805,0.4206911602189986
2048,1.0,0.05,7,0.09728734730546285,0.8093595504760742
2048,1.0,0.05,7,0.1,0.953635323047638
2048,1.0,0.05,7,0.11170082013459218,1.7403830528259276
2048,1.0,0.05,7,0.1148153621496883,1.945069407228523
2048,1.0,0.05,7,0.1318256738556407,3.0629797367302887
2048,1.0,0.05,7,0.15,4.257388591766357
2048,1.0,0.05,7,0.15135612484362082,4.257388591766357
2048,1.0,0.05,8,0.00330346724003798,5.761090660095215
2048,1.0,0.05,8,0.0037928878751459175,5.761090660095215
2048,1.0,0.05,8,0.004354817949780402,5.761090660095215
2048,1.0,0.05,8,0.005,5.761090660095215
2048,1.0,0.05,8,0.005740768107484414,5.569582678777605
2048,1.0,0.05,8,0.006591283692782036,5.349702096482234
2048,1.0,0.05,8,0.006597539553864474,5.348084792341848
2048,1.0,0.05,8,0.0075678062421810416,5.097245409622961
2048,1.0,0.05,8,0.00870550563296124,4.803120282645658
2048,1.0,0.05,8,0.011486983549970353,4.084035301011061
2048,1.0,0.05,8,0.01321386896015192,3.637590137498588
2048,1.0,0.05,8,0.015157165665103984,3.1351969792262295
2048,1.0,0.05,8,0.015171551500583674,3.1314778635077656
2048,1.0,0.05,8,0.017419271799121613,2.550383223241179
2048,1.0,0.05,8,0.02,1.88319730758667
2048,1.0,0.05,8,0.02296307242993765,1.7353658939177081
2048,1.0,0.05,8,0.023124270680265863,1.7273235102803008
2048,1.0,0.05,8,0.02636513477112814,1.5656327209426852
2048,1.0,0.05,8,0.026550215126021435,1.556398829043929
2048,1.0,0.05,8,0.030271224968724166,1.3707529637032558
2048,1.0,0.05,8,0.03048372564846282,1.3601510372791887
2048,1.0,0.05,8,0.0330346724003798,1.232881092501609
2048,1.0,0.05,8,0.035,1.1348284244537354
2048,1.0,0.05,8,0.03792887875145919,1.0449503004220557
2048,1.0,0.05,8,0.0401853767523909,0.9757054376553961
2048,1.0,0.05,8,0.04354817949780404,0.872511544055077
2048,1.0,0.05,8,0.04613898584947424,0.7930078040994826
2048,1.0,0.05,8,0.04875917646296059,0.7126023530960083
2048,1.0,0.05,8,0.05,0.8554192781448364
2048,1.0,0.05,8,0.05297464369526729,0.7600100381806912
2048,1.0,0.05,8,0.055983025037153765,0.6635186910629273
2048,1.0,0.05,8,0.05740768107484413,0.6333333124645669
2048,1.0,0.05,8,0.06427711293875876,0.48778491616249087
2048,1.0,0.05,8,0.06591283692782035,0.4427255459015933
2048,1.0,0.05,8,0.0660693448007596,0.43841421572445205
2048,1.0,0.05,8,0.0738,0.2254574716091156
2048,1.0,0.05,8,0.07567806242181041,0.22137585850290745
2048,1.0,0.05,8,0.07585775750291839,0.22098532526521855
2048,1.0,0.05,8,0.08473373726646993,0.2016950637102127
2048,1.0,0.05,8,0.08709635899560805,0.2660013621617643
2048,1.0,0.05,8,0.09728734730546285,0.543381667137146
2048,1.0,0.05,8,0.1,0.5937825202941894
2048,1.0,0.05,8,0.11170082013459218,1.3505303144454956
