D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.005,0.7847065012902021,4.089761897921562,2.169613838195801,0.6841690428555012,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.006667,0.7386207580566406,5.249208256602287,2.1914817690849304,0.6226778328418732,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.008333,0.39355462323874235,8.856434881687164,2.2449560165405273,0.4779991880059242,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.01,0.4469851301982999,8.218694895505905,2.262198895215988,0.43167308159172535,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.011667,0.5858787670731544,8.9492963925004,2.285611003637314,0.3240648154169321,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.013333,0.30643256288021803,11.231167525053024,2.2958902418613434,0.3318825848400593,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.015,0.5535723892971873,7.696713522076607,2.3164902925491333,0.2699187286198139,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.016667,0.34043486416339874,7.962808609008789,2.330034703016281,0.2683995719999075,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.018333,0.4868441578000784,6.309261858463287,2.336564004421234,0.21813420951366425,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.02,0.6933770701289177,4.831808269023895,2.3589545488357544,0.20308027230203152,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.021667,0.7128570191562176,4.204557955265045,2.372841864824295,0.19373387098312378,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.023333,0.6127258688211441,4.473165422677994,2.3860999941825867,0.17791037820279598,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.025,0.776519387960434,3.8219790160655975,2.4062135815620422,0.20055280067026615,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.0275,0.6498892530798912,3.946904629468918,2.4343459606170654,0.17709682695567608,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.03,0.7504426538944244,3.689451515674591,2.459372252225876,0.16636312566697598,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.0325,0.7225935310125351,3.527825653553009,2.4918658435344696,0.15984249953180552,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.035,0.8411751911044121,3.2719899266958237,2.528063952922821,0.1562686674296856,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.0375,0.7511129826307297,3.6669872999191284,2.563123047351837,0.15035496652126312,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.04,0.9674387276172638,3.049521565437317,2.5973734855651855,0.14270011521875858,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.0425,0.8003105595707893,3.555156797170639,2.6376044154167175,0.14183150324970484,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.045,1.1115849167108536,2.616566240787506,2.6729546189308167,0.13047771528363228,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.0475,1.1599817276000977,2.532259613275528,2.713994801044464,0.13254518527537584,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.05,1.183846190571785,2.3805549293756485,2.7560864984989166,0.1308965664356947,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.0525,1.4472719952464104,2.0985153317451477,2.785979837179184,0.11583044938743114,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.055,1.1670950651168823,2.5405843406915665,2.8224767446517944,0.12405857909470797,3.0,topological,count,1024,3,k=3,0.5445095274032776
