model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,1024,4,k=4,,0.620416470460007,0,0.005,0.8935195803642273,0.05431421846151352,3.0208353996276855,2.0641674995422363,0.6833102107048035,4.0,0.6267950534820557
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,0,0.005,0.9217128753662109,0.010237802751362324,0.10732810944318771,2.0279626846313477,18.894981384277344,6.141777038574219,
topological,count,1024,4,k=4,,0.620416470460007,1,0.005,0.9151034355163574,0.015610252507030964,0.24952830374240875,2.0568857192993164,8.243095397949219,4.0,0.6652810573577881
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,1,0.005,0.9300570487976074,0.007680390030145645,0.06040411442518234,2.044891357421875,33.85350799560547,9.236777305603027,
topological,count,1024,4,k=4,,0.620416470460007,2,0.005,0.796332836151123,0.02525842748582363,0.653299868106842,2.0944173336029053,3.205904960632324,4.0,0.5252952575683594
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,2,0.005,0.9318580627441406,0.009147297590970993,0.08568121492862701,2.031707525253296,23.712404251098633,6.092519283294678,
topological,count,1024,4,k=4,,0.620416470460007,3,0.005,0.8779847621917725,0.025064742192626,0.6433190703392029,2.0611135959625244,3.2038745880126953,4.0,0.5780029296875
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,3,0.005,0.9235551357269287,0.01050217542797327,0.11294279247522354,2.041943311691284,18.079448699951172,6.881894588470459,
topological,count,1024,4,k=4,,0.620416470460007,4,0.005,0.8686896562576294,0.020677126944065094,0.43780460953712463,2.0747432708740234,4.738970756530762,4.0,0.5771782398223877
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,4,0.005,0.9229037165641785,0.00541476346552372,0.03002333641052246,2.040532112121582,67.9648666381836,5.876855373382568,
topological,count,1024,4,k=4,,0.620416470460007,5,0.005,0.789698600769043,0.05665057897567749,3.286310911178589,2.1189026832580566,0.6447663307189941,4.0,0.55086749792099
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,5,0.005,0.9353780746459961,0.011066766455769539,0.1254126876592636,2.023395299911499,16.133895874023438,6.480996131896973,
topological,count,1024,4,k=4,,0.620416470460007,6,0.005,0.8721559047698975,0.03403603285551071,1.1862543821334839,2.079145669937134,1.7526979446411133,4.0,0.5691081285476685
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,6,0.005,0.9289778470993042,0.0072140987031161785,0.053292255848646164,2.033968448638916,38.16630172729492,6.823320388793945,
topological,count,1024,4,k=4,,0.620416470460007,7,0.005,0.8500129580497742,0.01784270629286766,0.32600289583206177,2.1017398834228516,6.44699764251709,4.0,0.5657796859741211
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,7,0.005,0.911638081073761,0.01294831745326519,0.17168273031711578,2.0303587913513184,11.826227188110352,6.670234203338623,
topological,count,1024,4,k=4,,0.620416470460007,0,0.00625,0.863663375377655,0.020033415406942368,0.41096988320350647,2.084052562713623,5.071059226989746,4.0,0.6279661655426025
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,0,0.00625,0.9178513884544373,0.013739664107561111,0.19330905377864838,2.040720224380493,10.556775093078613,6.682304382324219,
topological,count,1024,4,k=4,,0.620416470460007,1,0.00625,0.8505747318267822,0.03762514144182205,1.4496269226074219,2.0893163681030273,1.4412786960601807,4.0,0.596933901309967
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,1,0.00625,0.9059345126152039,0.015326450578868389,0.24053770303726196,2.0428009033203125,8.492643356323242,5.902695178985596,
topological,count,1024,4,k=4,,0.620416470460007,2,0.00625,0.8371930718421936,0.02538461796939373,0.6598439812660217,2.09749174118042,3.178769111633301,4.0,0.5750534534454346
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,2,0.00625,0.9051501750946045,0.014738989062607288,0.22245149314403534,2.044107675552368,9.189004898071289,6.356191158294678,
topological,count,1024,4,k=4,,0.620416470460007,3,0.00625,0.8331913352012634,0.022793546319007874,0.5320148468017578,2.0759286880493164,3.902012586593628,4.0,0.6076226830482483
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,3,0.00625,0.910187840461731,0.009255358949303627,0.08771754056215286,2.049367666244507,23.36326026916504,6.800976276397705,
topological,count,1024,4,k=4,,0.620416470460007,4,0.00625,0.841075599193573,0.021015040576457977,0.45223113894462585,2.093583106994629,4.629453659057617,4.0,0.583385169506073
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,4,0.00625,0.9053230285644531,0.013857217505574226,0.19663101434707642,2.0414557456970215,10.38216495513916,7.897011756896973,
topological,count,1024,4,k=4,,0.620416470460007,5,0.00625,0.8277127742767334,0.026606615632772446,0.7249019145965576,2.0891783237457275,2.8820149898529053,4.0,0.5414530634880066
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,5,0.00625,0.8992469310760498,0.013292651623487473,0.18093524873256683,2.0327584743499756,11.234729766845703,6.343886375427246,
topological,count,1024,4,k=4,,0.620416470460007,6,0.00625,0.805047333240509,0.042330678552389145,1.8348915576934814,2.1036665439605713,1.1464800834655762,4.0,0.5437292456626892
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,6,0.00625,0.9194772243499756,0.013206318952143192,0.17859263718128204,2.0327680110931396,11.382149696350098,8.063554763793945,
topological,count,1024,4,k=4,,0.620416470460007,7,0.00625,0.7645825147628784,0.031268950551748276,1.0012131929397583,2.1443371772766113,2.1417388916015625,4.0,0.529272735118866
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,7,0.00625,0.9030802845954895,0.013673126697540283,0.19144131243228912,2.040355920791626,10.657866477966309,6.141855239868164,
topological,count,1024,4,k=4,,0.620416470460007,0,0.0075,0.7494059801101685,0.047746580094099045,2.334449529647827,2.1323158740997314,0.9134126901626587,4.0,0.566469132900238
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,0,0.0075,0.880929708480835,0.0128934970125556,0.17023207247257233,2.050920248031616,12.04779052734375,6.348788738250732,
topological,count,1024,4,k=4,,0.620416470460007,1,0.0075,0.7779340744018555,0.06818734854459763,4.76110315322876,2.145707845687866,0.45067450404167175,4.0,0.5985336303710938
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,1,0.0075,0.9043675661087036,0.019653910771012306,0.39554688334465027,2.0547232627868652,5.194639205932617,6.974550724029541,
topological,count,1024,4,k=4,,0.620416470460007,2,0.0075,0.7501994371414185,0.03536762297153473,1.2808897495269775,2.11690092086792,1.6526800394058228,4.0,0.5330747365951538
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,2,0.0075,0.8843955993652344,0.010958561673760414,0.12297223508358002,2.0543954372406006,16.706172943115234,7.094785213470459,
topological,count,1024,4,k=4,,0.620416470460007,3,0.0075,0.8131135106086731,0.05611157789826393,3.2240734100341797,2.10652756690979,0.6533746123313904,4.0,0.600827157497406
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,3,0.0075,0.8907914757728577,0.011378741823136806,0.13258318603038788,2.0566344261169434,15.512029647827148,6.380898475646973,
topological,count,1024,4,k=4,,0.620416470460007,4,0.0075,0.7923031449317932,0.031634412705898285,1.0247538089752197,2.1132450103759766,2.062197685241699,4.0,0.585923433303833
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,4,0.0075,0.8866912722587585,0.0088688088580966,0.08054351806640625,2.049485921859741,25.445695877075195,6.791112899780273,
topological,count,1024,4,k=4,,0.620416470460007,5,0.0075,0.7734199166297913,0.03313414752483368,1.1242207288742065,2.11966872215271,1.8854559659957886,4.0,0.5592614412307739
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,5,0.0075,0.8830087184906006,0.01928742229938507,0.3809327483177185,2.047623634338379,5.375288963317871,5.960800647735596,
topological,count,1024,4,k=4,,0.620416470460007,6,0.0075,0.7631977200508118,0.06085522845387459,3.7922396659851074,2.1388845443725586,0.5640161633491516,4.0,0.5573133826255798
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,6,0.0075,0.8798967599868774,0.013992508873343468,0.20048928260803223,2.045132637023926,10.200708389282227,6.018241882324219,
topological,count,1024,4,k=4,,0.620416470460007,7,0.0075,0.7303276062011719,0.03798570856451988,1.4775439500808716,2.1372761726379395,1.4465060234069824,4.0,0.5093154907226562
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,7,0.0075,0.8995749950408936,0.012220296077430248,0.1529197096824646,2.0496928691864014,13.403719902038574,6.292460918426514,
topological,count,1024,4,k=4,,0.620416470460007,0,0.00875,0.8123098015785217,0.030387768521904945,0.9455785155296326,2.1185946464538574,2.240527391433716,4.0,0.6134055852890015
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,0,0.00875,0.8608941435813904,0.029618477448821068,0.898308277130127,2.0617830753326416,2.295184373855591,5.933046817779541,
topological,count,1024,4,k=4,,0.620416470460007,1,0.00875,0.838936448097229,0.04592949524521828,2.160147190093994,2.1205780506134033,0.9816822409629822,4.0,0.618384599685669
