model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,1024,3,k=3,,0.5445095274032776,0,0.005,0.7194088697433472,0.09274963289499283,8.808954238891602,2.158555507659912,0.24504105746746063,3.0,0.4675178527832031
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.005,0.8802335262298584,0.01823684386909008,0.34056445956230164,2.0388247966766357,5.986604690551758,5.494355201721191,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.005,0.7435680031776428,0.036217447370290756,1.3431843519210815,2.1308138370513916,1.5863896608352661,3.0,0.443361759185791
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.005,0.8898921012878418,0.011867143213748932,0.14420898258686066,2.0348927974700928,14.110721588134766,6.713085651397705,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.005,0.7669177651405334,0.03555078059434891,1.2941906452178955,2.1267735958099365,1.643323302268982,3.0,0.4418323338031769
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.005,0.8925703167915344,0.026843149214982986,0.7378480434417725,2.0289134979248047,2.7497713565826416,6.823066234588623,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.005,0.7776392698287964,0.06351958960294724,4.131572723388672,2.112140655517578,0.5112195014953613,3.0,0.4544413387775421
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.005,0.8772222995758057,0.017620602622628212,0.31793728470802307,2.0360584259033203,6.4039626121521,6.959863185882568,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.005,0.46450212597846985,0.05677224323153496,3.3004415035247803,2.2862582206726074,0.6927129030227661,3.0,0.38197988271713257
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.005,0.8902128338813782,0.025056881830096245,0.6429157257080078,2.0404913425445557,3.1738085746765137,6.610722541809082,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.005,0.6666849255561829,0.06611422449350357,4.475996971130371,2.1655139923095703,0.48380595445632935,3.0,0.4278157353401184
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.005,0.8852193355560303,0.025240842252969742,0.6523905396461487,2.02266263961792,3.100386381149292,6.642988204956055,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.005,0.6192570924758911,0.08024419844150543,6.593670845031738,2.2207226753234863,0.3367961049079895,3.0,0.43778419494628906
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.005,0.8883674144744873,0.015735849738121033,0.25355979800224304,2.02958083152771,8.004347801208496,6.067070007324219,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.005,0.7153742909431458,0.0520111545920372,2.7700839042663574,2.156132221221924,0.7783635258674622,3.0,0.44484519958496094
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.005,0.9050532579421997,0.012578513473272324,0.16201625764369965,2.0406720638275146,12.595477104187012,6.271406173706055,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.006667,0.6134909391403198,0.09637080132961273,9.51022720336914,2.2151639461517334,0.23292440176010132,3.0,0.4478658139705658
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.006667,0.8541796207427979,0.010691674426198006,0.11705539375543594,2.0477194786071777,17.493593215942383,5.416562557220459,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.006667,0.6428213119506836,0.040980033576488495,1.7196680307388306,2.1731722354888916,1.2637161016464233,3.0,0.43301650881767273
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.006667,0.868962287902832,0.01709739863872528,0.2993367314338684,2.0488758087158203,6.844719409942627,6.768984317779541,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.006667,0.6578490138053894,0.04752620682120323,2.3129501342773438,2.173414468765259,0.9396719336509705,3.0,0.4396649897098541
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.006667,0.845241367816925,0.02541297860443592,0.6613191366195679,2.0504281520843506,3.1005122661590576,5.941445350646973,
