D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.005,1.2661768421530724,3.836038887500763,2.204620897769928,0.6041766442358494,3.0,topological,count,2048,3,k=3,0.5063
0.00625,0.618054399266839,6.984120815992355,2.2385900616645813,0.4924933947622776,3.0,topological,count,2048,3,k=3,0.5063
0.006667,0.5654190499335527,8.579720810055733,2.222704231739044,0.5373980961740017,3.0,topological,count,2048,3,k=3,0.5063
0.0075,0.742269666865468,4.771705284714699,2.2336087226867676,0.4961419589817524,3.0,topological,count,2048,3,k=3,0.5063
0.008333,0.32108580227941275,10.876366078853607,2.237384170293808,0.4754192568361759,3.0,topological,count,2048,3,k=3,0.5063
0.00875,0.34497748501598835,7.801825612783432,2.249439924955368,0.45176248997449875,3.0,topological,count,2048,3,k=3,0.5063
0.01,0.5617704512551427,9.109285727143288,2.275148868560791,0.3238792633637786,3.0,topological,count,2048,3,k=3,0.5063
0.01125,0.5007816068828106,7.063436657190323,2.2772949934005737,0.34015731886029243,3.0,topological,count,2048,3,k=3,0.5063
0.011667,0.41763855516910553,8.045349836349487,2.2795608043670654,0.3283286280930042,3.0,topological,count,2048,3,k=3,0.5063
0.0125,0.49338833428919315,8.998831033706665,2.2870236337184906,0.3169538676738739,3.0,topological,count,2048,3,k=3,0.5063
0.013333,0.3504514191299677,8.420419156551361,2.300632804632187,0.2550185602158308,3.0,topological,count,2048,3,k=3,0.5063
0.01375,0.21493469085544348,12.197463154792786,2.3037982881069183,0.24535379372537136,3.0,topological,count,2048,3,k=3,0.5063
0.015,0.4730133283883333,6.35697203874588,2.312188357114792,0.24386479519307613,3.0,topological,count,2048,3,k=3,0.5063
0.01625,0.41859854152426124,12.599757999181747,2.329723209142685,0.2039890605956316,3.0,topological,count,2048,3,k=3,0.5063
0.016667,0.33826518803834915,9.07918718457222,2.321110486984253,0.21429964806884527,3.0,topological,count,2048,3,k=3,0.5063
0.0175,0.4305532593280077,6.988564372062683,2.3375368416309357,0.16030006390064955,3.0,topological,count,2048,3,k=3,0.5063
0.018333,0.48572126775979996,6.584977895021439,2.340744376182556,0.1879180520772934,3.0,topological,count,2048,3,k=3,0.5063
0.01875,0.4191932659596205,8.096657752990723,2.34131583571434,0.18173151649534702,3.0,topological,count,2048,3,k=3,0.5063
0.02,0.29408721439540386,9.618005961179733,2.3558967113494873,0.15322078578174114,3.0,topological,count,2048,3,k=3,0.5063
0.021667,0.5384855009615421,5.006970167160034,2.375756174325943,0.14620538149029016,3.0,topological,count,2048,3,k=3,0.5063
0.0225,0.7214256934821606,4.140577495098114,2.3766828179359436,0.15650454722344875,3.0,topological,count,2048,3,k=3,0.5063
0.023333,0.6323295682668686,4.327784568071365,2.3875117897987366,0.1388722900301218,3.0,topological,count,2048,3,k=3,0.5063
0.025,0.5218987036496401,5.5377567410469055,2.4044031500816345,0.14795890357345343,3.0,topological,count,2048,3,k=3,0.5063
0.0275,0.5765649825334549,5.231950432062149,2.433965712785721,0.12543520610779524,3.0,topological,count,2048,3,k=3,0.5063
0.03,0.6219022870063782,4.411128222942352,2.4606228172779083,0.12182848807424307,3.0,topological,count,2048,3,k=3,0.5063
0.035,0.8632457405328751,3.1152847558259964,2.524736136198044,0.11876041442155838,3.0,topological,count,2048,3,k=3,0.5063
0.04,0.9775790795683861,2.7918591648340225,2.5942104160785675,0.10493500623852015,3.0,topological,count,2048,3,k=3,0.5063
0.045,0.9583831280469894,2.8200835585594177,2.67032852768898,0.09420440066605806,3.0,topological,count,2048,3,k=3,0.5063
0.05,0.9396209493279457,3.073992967605591,2.746098607778549,0.0918363006785512,3.0,topological,count,2048,3,k=3,0.5063
0.055,1.3247120678424835,2.4580578207969666,2.8212045431137085,0.08210799470543861,3.0,topological,count,2048,3,k=3,0.5063
0.06,1.3026514127850533,2.3069784194231033,2.8804218471050262,0.0813345406204462,3.0,topological,count,2048,3,k=3,0.5063
0.065,1.772922232747078,1.745808869600296,2.9361730217933655,0.06996174901723862,3.0,topological,count,2048,3,k=3,0.5063
0.07,2.029348999261856,1.4843682199716568,2.9648307859897614,0.06530256755650043,3.0,topological,count,2048,3,k=3,0.5063
0.08,2.7990656346082687,1.1189057156443596,2.9958230555057526,0.055472442880272865,3.0,topological,count,2048,3,k=3,0.5063
0.09,3.1420047134160995,0.9770550057291985,2.960679590702057,0.052632891573011875,3.0,topological,count,2048,3,k=3,0.5063
0.1,4.4588392078876495,0.6923445090651512,2.895445019006729,0.04445279994979501,3.0,topological,count,2048,3,k=3,0.5063
0.12,5.149327576160431,0.536765668541193,2.7122794687747955,0.03885748377069831,3.0,topological,count,2048,3,k=3,0.5063
0.14,5.766951858997345,0.4459904469549656,2.5165301263332367,0.03495501400902867,3.0,topological,count,2048,3,k=3,0.5063
0.16,6.095379650592804,0.3860568068921566,2.33055180311203,0.03251936845481396,3.0,topological,count,2048,3,k=3,0.5063
0.18,6.33567875623703,0.34620358794927597,2.1644208133220673,0.030317666474729776,3.0,topological,count,2048,3,k=3,0.5063
0.2,6.31268709897995,0.32510465756058693,2.017502099275589,0.02930371300317347,3.0,topological,count,2048,3,k=3,0.5063
0.005,2.0661064442247152,3.9546244889497757,2.040986120700836,0.8364796862006187,6.937211751937866,metric,count,2048,3,k=3,0.5063
0.00625,2.163662521634251,6.540323823690414,2.050121933221817,0.7995630279183388,6.566843092441559,metric,count,2048,3,k=3,0.5063
0.006667,1.8572544902563095,1.7864399179816246,2.050933361053467,0.8115031346678734,6.368066251277924,metric,count,2048,3,k=3,0.5063
0.0075,2.658059112727642,1.1480183862149715,2.057087004184723,0.7924861460924149,5.779091715812683,metric,count,2048,3,k=3,0.5063
0.008333,1.9286319725215435,5.650588013231754,2.067356616258621,0.7440991178154945,5.759853422641754,metric,count,2048,3,k=3,0.5063
0.00875,2.179208055138588,1.8258752673864365,2.0668140947818756,0.7448242679238319,5.44537091255188,metric,count,2048,3,k=3,0.5063
0.01,1.289364643394947,2.7905785590410233,2.0756744146347046,0.7110327035188675,5.241174221038818,metric,count,2048,3,k=3,0.5063
0.01125,1.421808835119009,2.618494614958763,2.0863568782806396,0.682366207242012,5.1331504583358765,metric,count,2048,3,k=3,0.5063
0.011667,1.0772941331379116,6.424528747797012,2.0907725393772125,0.6579749211668968,5.2769798040390015,metric,count,2048,3,k=3,0.5063
0.0125,1.7806166857481003,1.8336322531104088,2.095577597618103,0.660311371088028,4.8561094999313354,metric,count,2048,3,k=3,0.5063
0.013333,0.7497430220246315,4.914001524448395,2.103117048740387,0.5735387429594994,4.899059891700745,metric,count,2048,3,k=3,0.5063
0.01375,1.4087321627885103,3.5363187938928604,2.1024221181869507,0.6195167526602745,4.769389569759369,metric,count,2048,3,k=3,0.5063
0.015,1.0336934067308903,4.435884803533554,2.1149164140224457,0.5344408228993416,4.676528215408325,metric,count,2048,3,k=3,0.5063
0.01625,1.0178699977695942,3.3346932530403137,2.1217300295829773,0.5337760001420975,4.520020604133606,metric,count,2048,3,k=3,0.5063
0.016667,0.7526599382981658,8.598733380436897,2.12878280878067,0.49035847932100296,4.552928388118744,metric,count,2048,3,k=3,0.5063
0.0175,1.1114681400358677,5.496612936258316,2.1310551464557648,0.4713836647570133,4.415416181087494,metric,count,2048,3,k=3,0.5063
0.018333,0.7359652109444141,5.287930026650429,2.137407571077347,0.448446873575449,4.2724535167217255,metric,count,2048,3,k=3,0.5063
0.01875,0.5082882633432746,6.11518868803978,2.1436143815517426,0.4113011434674263,4.158531337976456,metric,count,2048,3,k=3,0.5063
0.02,0.5705487411469221,4.673267185688019,2.151169627904892,0.38379834964871407,4.1372277438640594,metric,count,2048,3,k=3,0.5063
0.021667,0.5634054597467184,6.939330354332924,2.1585749983787537,0.38650044798851013,3.880967915058136,metric,count,2048,3,k=3,0.5063
0.0225,0.8313298039138317,3.3875997364521027,2.1659426391124725,0.33740230463445187,3.744428664445877,metric,count,2048,3,k=3,0.5063
0.023333,0.3554404377937317,8.755597949028015,2.1711019575595856,0.27459800988435745,3.7719554603099823,metric,count,2048,3,k=3,0.5063
