model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,2048,5,k=5,,0.6714,0,0.005,0.9192683100700378,0.011916281655430794,0.2908114492893219,2.0503950119018555,7.050599575042725,5.0,0.7024429440498352
metric,count,2048,5,k=5,0.6714,0.6714,0,0.005,0.92796391248703,0.010939660482108593,0.245096817612648,2.035186290740967,8.303601264953613,9.669912338256836,
topological,count,2048,5,k=5,,0.6714,1,0.005,0.849730372428894,0.020829470828175545,0.8885592818260193,2.068748950958252,2.3282060623168945,5.0,0.5760631561279297
metric,count,2048,5,k=5,0.6714,0.6714,1,0.005,0.9459834098815918,0.008398800157010555,0.1444655954837799,2.032477617263794,14.068939208984375,9.2066011428833,
topological,count,2048,5,k=5,,0.6714,2,0.005,0.841761589050293,0.017948376014828682,0.659751296043396,2.0753705501556396,3.145686149597168,5.0,0.5743677020072937
metric,count,2048,5,k=5,0.6714,0.6714,2,0.005,0.9021691679954529,0.033835846930742264,2.3446826934814453,2.0425777435302734,0.8711531162261963,8.415976524353027,
topological,count,2048,5,k=5,,0.6714,3,0.005,0.9218854904174805,0.014192095957696438,0.4124990999698639,2.0407369136810303,4.947251796722412,5.0,0.6982325315475464
metric,count,2048,5,k=5,0.6714,0.6714,3,0.005,0.9384967088699341,0.009246681816875935,0.17510628700256348,2.0382847785949707,11.64027214050293,8.861395835876465,
topological,count,2048,5,k=5,,0.6714,4,0.005,0.92072993516922,0.012058752588927746,0.29780688881874084,2.0548410415649414,6.899910926818848,5.0,0.6854419708251953
metric,count,2048,5,k=5,0.6714,0.6714,4,0.005,0.9442254304885864,0.00553306145593524,0.06269904971122742,2.038834810256958,32.517791748046875,8.835976600646973,
topological,count,2048,5,k=5,,0.6714,5,0.005,0.8972819447517395,0.021185917779803276,0.9192307591438293,2.0557069778442383,2.2363338470458984,5.0,0.6363505125045776
metric,count,2048,5,k=5,0.6714,0.6714,5,0.005,0.9273828864097595,0.008118556812405586,0.13498565554618835,2.026794910430908,15.014890670776367,9.44571304321289,
topological,count,2048,5,k=5,,0.6714,6,0.005,0.8822600841522217,0.024419182911515236,1.2212152481079102,2.07314395904541,1.697607398033142,5.0,0.6104859709739685
metric,count,2048,5,k=5,0.6714,0.6714,6,0.005,0.9420444965362549,0.006830916274338961,0.09556257724761963,2.0293798446655273,21.23613739013672,8.08511734008789,
topological,count,2048,5,k=5,,0.6714,7,0.005,0.8945733308792114,0.016810065135359764,0.5787203907966614,2.0593819618225098,3.558509588241577,5.0,0.6520589590072632
metric,count,2048,5,k=5,0.6714,0.6714,7,0.005,0.9345362782478333,0.00820003543049097,0.13770872354507446,2.0357327461242676,14.782888412475586,7.313652038574219,
topological,count,2048,5,k=5,,0.6714,0,0.006875,0.8825149536132812,0.01465670857578516,0.43994957208633423,2.0741705894470215,4.714564323425293,5.0,0.6852618455886841
