model,match_method,N,k,k_label,matched_R,matched_mean_degree_precalibration,realized_degree_mean,realized_degree_ci_low,realized_degree_ci_high,degree_gap,degree_gap_ci_low,degree_gap_ci_high,J_min,J_min_ci_low,J_min_ci_high,D_opt,D_opt_ci_low,D_opt_ci_high,D_c,D_c_ci_low,D_c_ci_high,Delta,Delta_ci_low,Delta_ci_high,sharpness,sharpness_ci_low,sharpness_ci_high,chi_peak,chi_peak_ci_low,chi_peak_ci_high,opt_on_boundary,opt_on_boundary_ci_low,opt_on_boundary_ci_high,critical_on_boundary,critical_on_boundary_ci_low,critical_on_boundary_ci_high
topological,count,1024,3,k=3,0.5445095274032776,3.0218912760416665,3.0,3.0,3.0,0.0,0.0,0.0,0.3061799452945486,0.14641584664478668,0.3332657225678721,0.013384619455889374,0.00886335945205522,0.016843604827244858,0.013154042696497639,0.008804499996160607,0.014894867040776248,0.00023057675939173496,2.1555895979937226e-05,0.007311130782409728,0.8079968913856992,0.13800172009526565,1.581734605840236,11.264701024367298,9.323019392443118,16.19534947929226,0.0,0.0,0.0,0.0,0.0,0.0
metric,count,1024,3,k=3,0.5445095274032776,3.0218912760416665,3.1050634075488364,3.060708590336144,3.141655594451087,0.10506340754883636,0.06070859033614395,0.1416555944510871,0.40964708777551095,0.28224838253313395,0.5150488677142562,0.02357617438855725,0.023147373188094563,0.030807237010222033,0.02411087929396966,0.02333291898416176,0.03149498520209297,0.0005347049054124087,2.5046036440180233e-05,0.007863310281320002,0.856982573257175,0.1312424005026951,1.96283626871956,6.708522512781997,5.597380335263055,10.582972160031726,0.0,0.0,0.0,0.0,0.0,0.0
topological,count,1024,4,k=4,0.620416470460007,3.785003662109375,4.0,4.0,4.0,0.0,0.0,0.0,0.3261897199858197,-0.2687524338115349,0.3560518488551358,0.03679474971133237,0.01843252190768904,0.04514098260081497,0.027363065865282553,0.014967686322401324,0.04507920196441478,0.009431683846049817,4.68846085383591e-05,0.022088106032352808,0.29192494359701554,0.050077948898355464,2.257620041713553,8.764395647407559,8.500192306858253,22.145208182673958,0.0,0.0,0.0,0.0,0.0,0.0
metric,count,1024,4,k=4,0.620416470460007,3.785003662109375,3.959641363057825,3.9309775353926755,3.986603377035095,-0.0403586369421749,-0.06902246460732453,-0.01339662296490518,0.3942942125689015,0.27173962446033684,0.46061890997830995,0.0418134952105142,0.03797070451021767,0.042988087875622166,0.041834601347225414,0.03773481272948093,0.0443663455137527,2.1106136711211698e-05,2.1100217640637915e-05,0.0038105440395817224,0.1856475619155884,0.0482981678704075,0.8020630261769951,6.887652783256556,5.952730752838512,9.237642313304569,0.0,0.0,0.0,0.0,0.0,0.0
topological,count,1024,5,k=5,0.8024114967626073,4.98095703125,5.0,5.0,5.0,0.0,0.0,0.0,0.16881152025050383,0.09105701802021016,0.2415713790431963,0.04757124502248606,0.046365584452074365,0.04929678517809357,0.04767925199513429,0.047198918745932385,0.04861492810857952,0.00010800697264823356,1.384796600243689e-05,0.0010118184852926614,1.6462564677614677,0.4311933597572259,3.3312189977473188,15.639189661105604,12.230971982926926,19.10057222806624,0.0,0.0,0.0,0.0,0.0,0.0
metric,count,1024,5,k=5,0.8024114967626073,4.98095703125,5.69973374158144,5.675431709322664,5.72279831626349,0.69973374158144,0.6754317093226643,0.7227983162634901,0.4581773769262725,0.32824669197240225,0.49775105484150434,0.06626335877232604,0.06016001568125131,0.06715665360087264,0.0645012325816442,0.05375758173907449,0.06705198418998262,0.001762126190681848,3.5964141245626445e-05,0.00957657031410412,0.07075692642900809,0.05111483536476809,0.8326072275548462,6.891429257395089,6.229608092294685,10.55084354046397,0.0,0.0,0.0,0.0,0.0,0.0
topological,count,1024,7,k=7,1.0167454784646184,6.931233723958333,7.0,7.0,7.0,0.0,0.0,0.0,0.37417879855627234,0.2877002525255641,0.4003350017394197,0.077540005669641,0.06947913814128724,0.08390362960661348,0.0770152601483354,0.0691972678935146,0.08465595079538776,0.0005247455213056029,2.4785760316523713e-05,0.01339666933859246,0.3856939155888993,0.051606791511608886,0.6407236156068526,9.241952248906045,8.425851121247309,11.570188907392117,0.0,0.0,0.0,0.0,0.0,0.0
metric,count,1024,7,k=7,1.0167454784646184,6.931233723958333,7.337056540525877,7.267615655179207,7.388680197241214,0.33705654052587697,0.26761565517920705,0.3886801972412144,0.6664753565490145,0.49077243424586997,0.7146099797485573,0.08928717905829338,0.08734272393744826,0.09423795544111482,0.08977655609082537,0.0875809393398218,0.09393880703723052,0.0004893770325319902,8.501744645339482e-06,0.004900629655579941,0.02714466350386068,0.018101313268861004,0.41414825933303984,5.262239143075362,4.610437430816956,6.890368839010864,0.0,0.0,0.0,0.0,0.0,0.0
topological,count,1024,10,k=10,1.2163215467980262,10.005513509114584,10.0,10.0,10.0,0.0,0.0,0.0,0.5088159776799444,0.3901010043862243,0.5893562321646069,0.10085113734097408,0.0997404514142304,0.10453871547042294,0.10028035110897553,0.0984173357501837,0.10421739787966015,0.000570786231998549,1.957454184055921e-05,0.004549064907540337,0.1505369701385859,0.02053540848668081,0.5361661806175344,7.3090858435698465,6.0916027861494175,9.127078184314064,0.0,0.0,0.0,0.0,0.0,0.0
metric,count,1024,10,k=10,1.2163215467980262,10.005513509114584,10.044455336199867,9.96614460768523,10.12667429988031,0.04445533619986719,-0.03385539231476997,0.12667429988031031,0.7629126705825797,0.6368300106961812,0.8039231093242136,0.10432772820870496,0.10242764884534647,0.10635164604075466,0.10467228833974014,0.10067749702345694,0.10648134521007724,0.00034456013103517646,1.7618780507571226e-05,0.0033592014754264313,0.04770536306719129,0.01896319902510077,0.3420456167030412,4.549006371484893,4.246312305930141,5.2426463234482865,0.0,0.0,0.0,0.0,0.0,0.0
topological,count,2048,3,k=3,0.5063,,3.0,3.0,3.0,0.0,0.0,0.0,0.18601451887674614,0.09900757762467727,0.2325879973324163,0.014051189522442626,0.008334118039791243,0.020178975393169707,0.015934796666763604,0.008132166460436305,0.01672926504369803,0.0018836071443209777,2.2604412252820364e-05,0.008817343544878247,0.8840003524788191,0.1410578564428413,3.256348221379662,13.40059346588805,11.639216932063173,25.00516852614328,0.0,0.0,0.0,0.0,0.0,0.0
metric,count,2048,3,k=3,0.5063,,3.333195455735776,3.2879184240975032,3.3732362082137204,0.33319545573577614,0.28791842409750323,0.3732362082137204,0.2622313713169433,-0.001083659136799039,0.3987915178681728,0.023899299248582966,0.016817826810413605,0.02414693547706128,0.023889888984597523,0.005789636248342685,0.024015694862438423,9.410263985442507e-06,1.6550540092860184e-05,0.018246355511160512,1.3428270078487412,0.13421881306167796,9.229100765271848,9.782167062170856,8.974573636711554,21.887019041620068,0.0,0.0,0.0,0.0,0.0,0.0
topological,count,2048,4,k=4,0.5649,,4.0,4.0,4.0,0.0,0.0,0.0,0.18282343163360792,-0.03046372517416597,0.21688139100089363,0.02356313190767081,0.01573339758379031,0.03149501054198449,0.023877639432827818,0.015212783008654952,0.031062420170403907,0.00031450752515700675,5.171521074080026e-05,0.012230698933125145,0.736395861428217,0.09108045481778378,3.77437532380498,16.553382674058867,14.206502109943276,29.800258726324,0.0,0.0,0.0,0.0,0.0,0.0
metric,count,2048,4,k=4,0.5649,,4.110825271868125,4.059581929490697,4.1662518993474364,0.11082527186812463,0.059581929490697405,0.16625189934743645,0.4216240234011277,0.1811870803085868,0.49495990112271654,0.02719515346678863,0.025715941876138664,0.03850690912661122,0.027510740698343576,0.008130702524906747,0.027759371162663936,0.00031558723155494794,2.8867018111780264e-05,0.030347455997534103,0.2132854088397492,0.03877308102708949,1.6624642177623508,11.38736274808889,6.984663144118433,21.311744750854132,0.0,0.0,0.0,0.0,0.0,0.0
topological,count,2048,5,k=5,0.6714,,5.0,5.0,5.0,0.0,0.0,0.0,0.24156822183248394,0.13050130230813037,0.24156822183248394,0.02991933540252278,0.028856025770493083,0.05017295178681807,0.030228365438606523,0.029686463184224438,0.04478997798506619,0.00030903003608374197,2.6723688312336498e-05,0.019006099824632968,0.5768644345001608,0.08183603114925592,1.0963025237716186,16.945430464471087,14.516389617207842,31.24517934289772,0.0,0.0,0.0,0.0,0.0,0.0
